aliquot_uuid	aliquot_barcode
6e8968b9-e233-4938-8e66-79b1181e23b0	TCGA-SP-A6QK-01A-11R-A35L-07
bea8760d-cd7c-4d02-8032-cf32505fda56	TCGA-68-7757-01B-11R-2296-07
03f49b28-9ea3-446c-a9b1-633bcbedc3b4	TCGA-85-A4JC-01A-11R-A24Z-07
e873f2ee-21a1-48f9-a6d1-8062786148de	TCGA-L3-A4E7-01A-11R-A24Z-07
dfc68f11-b26c-48a3-b43e-c907d9d12f87	TCGA-85-A4JB-01A-51R-A262-07
d57e41d2-e98e-4a24-b1cf-bfca3cb5e255	TCGA-56-A4ZJ-01A-11R-A262-07
72c7d42b-8821-4702-8e55-081f3de759dc	TCGA-37-A5EN-01A-21R-A26W-07
9b2c4413-d5e6-4d48-9ceb-4ba48e737f25	TCGA-NC-A5HF-01A-11R-A26W-07
87d9eb58-9b87-462f-982d-8abc83f2205b	TCGA-NC-A5HL-01A-11R-A26W-07
73e04325-b1c2-4c77-b335-f6616ac48f47	TCGA-94-A4VJ-01A-11R-A24Z-07
19c517ef-7e77-4033-9020-eef42285cb04	TCGA-85-A4QR-01A-11R-A24Z-07
7374c112-195a-4bb5-b047-cdc99b0841ec	TCGA-WB-A818-01A-11R-A35L-07
ce3fabfc-8842-4c41-bf9a-e1c75872c8c0	TCGA-90-A4EE-01A-11R-A24Z-07
636bbdfd-25de-4068-921c-8982bed31c8c	TCGA-77-A5GA-01A-11R-A27Q-07
5db439d8-0190-4417-abf8-59b8cf25a168	TCGA-77-A5G8-01B-11R-A27Q-07
52925e7c-35c6-405c-982d-28a8a5ce1201	TCGA-58-A46J-01A-11R-A24H-07
265c0257-54b6-4b79-8c9a-d56ca8bbdb48	TCGA-56-8623-01A-11R-A28V-07
55d4ea6c-f934-495e-9c48-e867bd7983d3	TCGA-NK-A7XE-01A-12R-A405-07
4f64d057-a632-4a38-a9fe-977a194bcd34	TCGA-6A-AB49-01A-12R-A405-07
1c3df485-8e75-4378-87f6-c6463a520624	TCGA-21-1082-01A-01D-1521-08
8cf9b32d-3d6f-4898-8c7a-89511b754021	TCGA-21-1078-01A-01D-1521-08
a96eddfc-3afb-4bf8-a440-c91778113fbd	TCGA-60-2726-01A-01D-1522-08
71a2b4a2-88dd-4911-a67e-70b3309c4a12	TCGA-68-8250-01A-11D-2293-08
abc94013-71f5-4ac6-88a4-01b4ef9f9d2f	TCGA-22-5492-01A-01D-1632-08
d18c6e64-9598-488a-8ab3-3652072f9277	TCGA-66-2795-01A-02D-A320-08
24badf07-8615-48a3-8d6e-45c3d783f18d	TCGA-18-3408-01A-01D-A320-08
2fe2433b-9a55-431f-a869-2b5a63e8e8fc	TCGA-52-7812-01A-11D-A320-08
09eb0599-7435-4c1f-b96b-a02a490fb246	TCGA-WB-A81W-01A-11R-A35L-07
ad41f1f3-e38e-4418-9c16-52bca5719f39	TCGA-77-7139-01A-11D-A320-08
25224aa0-cfdd-48ec-92e5-8f3992a3e574	TCGA-66-2756-01A-01D-1180-08
45e16b70-c3ec-493e-86d1-505ffdf5056c	TCGA-66-2766-01A-01D-1180-08
b7d58bd2-216f-4fdf-b97e-56d9cfb69e3b	TCGA-77-7142-01A-11R-2045-07
790c2e10-c79a-412d-9a24-d571652ff80e	TCGA-60-2704-01A-11R-2045-07
432b9ce2-3ef5-4343-896f-bc91c59035fd	TCGA-77-7465-01A-11R-2045-07
88ef1c54-2210-429c-9cc4-6c12e6ee9d61	TCGA-70-6723-01A-11R-1820-07
2589ea8d-6306-4460-999f-c87a4b005420	TCGA-56-5898-01A-11R-1635-07
1d3edb73-2445-43e4-b33e-be68b26c63f3	TCGA-XG-A823-01A-11R-A35L-07
4865a07c-0af4-4cdd-b55f-ec11670d6e29	TCGA-33-4583-01A-01R-1443-07
aace0b09-d6bd-4ebd-a694-c838e8724bd3	TCGA-18-5595-01A-01R-1635-07
e52ba522-f5b9-4f9c-b03c-7d317ca7a30e	TCGA-46-3768-01A-01R-0980-07
142496ba-0118-475e-9169-a201e98e11b5	TCGA-22-5489-01A-01R-1635-07
002e2fae-9e30-4800-b23e-8f23bd16ad56	TCGA-66-2742-01A-01R-0980-07
c26af662-dd33-4073-bd97-1f79da7bfa43	TCGA-18-3409-01A-01R-0980-07
fddbc301-c80e-4ecd-b347-21783f885157	TCGA-18-3414-01A-01R-0980-07
4c81b542-cb70-4b53-850c-03a17237dfdf	TCGA-SR-A6MP-01A-11R-A35L-07
a10bc546-eb5d-4022-8f77-ea993db1a9d3	TCGA-66-2753-01A-01R-0980-07
3f0ad86f-9713-4d26-a2b4-87a2204855fe	TCGA-37-4130-01A-01R-1100-07
95d2741d-894f-447e-9010-844f1d8a6572	TCGA-66-2791-01A-01R-0980-07
8539f984-feb7-4b21-ac81-1ae2b403b845	TCGA-18-3412-01A-01R-0980-07
98fef165-d1ea-40e8-9bc5-5e8e70b7aaa5	TCGA-66-2754-01A-01R-0980-07
539545e6-7309-4431-85bf-101159542bdb	TCGA-18-3415-01A-01R-0980-07
89aaa481-724a-44d3-a4f2-d1a058563b03	TCGA-21-1081-01A-01R-0692-07
2f3702b6-bd6e-4863-8b81-e7d3850a9017	TCGA-39-5035-01A-01R-1443-07
c688d205-4bc6-4b47-bf68-f77fa0ade2a5	TCGA-W2-A7HA-01B-11R-A35L-07
cd60c90b-bd9a-4494-ad73-993664b12f33	TCGA-39-5036-01A-01R-1443-07
b00d66ea-f8e2-4f18-8df8-e6248d929373	TCGA-66-2737-01A-01R-0980-07
adf7cabd-e763-4adf-923f-9f47fa86ea7a	TCGA-21-1072-01A-01R-0692-07
263780bc-cbb0-426e-9c0c-cef110a83b51	TCGA-21-1080-01A-01R-0692-07
86452157-2294-4029-a61d-6702a7889b7e	TCGA-21-1083-01A-01R-0692-07
fe3a32fe-6338-43d3-b134-39fab3447f42	TCGA-22-1011-01A-01R-0692-07
cf12415f-4487-4e0d-9c9b-2239f7c83599	TCGA-22-1017-01A-01R-0692-07
8ecb75cd-cf31-4cc8-a2eb-01d1346791e9	TCGA-22-5491-01A-01R-1635-07
